account,ownedStake
uthantzin,"3,52455898"
peckypeace,"3,52428454"
jonnycoin,"3,52344414"
victor-alexander,"3,51512398"
t-rexwing,"3,51178416"
haveyaheard,"3,49733827"
trippymane,"3,47399347"
damla,"3,45959659"
bedazzled,"3,43795703"
temmylade,"3,4323788"
bigtakosensei,"3,41913426"
unklebonehead,"3,41849173"
duke77,"3,36675626"
fromoza,"3,35631711"
dante31,"3,34660748"
hotsauceislethal,"3,34137896"
monsterbuster,"3,33793977"
tjnew14,"3,33022155"
oadissin,"3,31512058"
hiroshige,"3,31038026"
giono,"3,29794839"
towarasu,"3,2846703"
automaton,"3,2795055"
dwinblood,"3,25855558"
ciderjunkie,"3,25419169"
consciouscat,"3,24151676"
hmvf,"3,23403355"
skatehype.com,"3,22878704"
metzli,"3,22231427"
theadamprost,"3,21294365"
brodred,"3,21024575"
dallas27,"3,20847795"
vlemon,"3,20103931"
stevenmc1,"3,19836567"
nbogda,"3,15133696"
dangerbald,"3,14986846"
ilo36,"3,12986505"
tokencav,"3,12717227"
hivebusiness,"3,1194877"
ghua,"3,11434769"
thales7,"3,11416651"
bechibenner,"3,11067398"
hive-138307,"3,10332143"
shortsegments,"3,09432601"
anieinyang20,"3,09326861"
casimirio,"3,06749939"
khoola,"3,06343455"
heruvim1978,"3,0568098"
tex73110,"3,03925657"
thewarkettle,"3,03287047"
beffeater,"3,01731183"
x9ed1732b,"3,01703617"
w1tty,"3,01589342"
thecrazywarlock,"3,01051133"
zealousnarwhal,"3,0"
atexoras,"2,99695781"
vimukthi,"2,97931852"
metronet,"2,97720569"
hivebr.spt,"2,97661776"
borsengelaber,"2,96409409"
forsakensushi,"2,95330376"
geiwoyibeipijiu,"2,95133309"
archmage.courier,"2,94851492"
brianoflondon,"2,93974471"
mario-jack,"2,92387573"
khaldeesi,"2,88826838"
lunamoon,"2,88786004"
freyamber,"2,8877845"
mularh,"2,88408603"
lukasbachofner,"2,84389704"
fallen.angels,"2,8383238"
cryptoking3,"2,82952836"
tolsk,"2,82843045"
camila-jhon,"2,81694698"
thekittygirl,"2,81580356"
vipservice,"2,8044059"
wepix,"2,79215522"
surgest,"2,78817011"
adie44,"2,786841"
athomewithcraig,"2,78155302"
panosdada.leo,"2,76331109"
jelly13,"2,75963084"
rishi556,"2,75451721"
papadoge,"2,75374627"
drivetheweb,"2,717419"
biggi,"2,71417375"
kuhnchun,"2,70921976"
woodathegsd,"2,69268003"
carlynn,"2,67752363"
theb0red1,"2,66510618"
curatorcat,"2,66246971"
maggotmilk,"2,66180999"
themarkymark,"2,65832595"
jeyf123,"2,64518369"
ecency,"2,63992498"
chente04,"2,62510016"
napolyon,"2,61972118"
rehan12,"2,60074788"
vishkaal,"2,59239834"
ctrpch,"2,57629943"
daisyphotography,"2,57324905"
sreypov,"2,57026234"
horstman5,"2,56961722"
blackleg,"2,56653438"
lordemmy,"2,56349392"
holovision.cash,"2,56053413"
neoxianburn,"2,55753543"
spikesan,"2,53345619"
drowkeudrow,"2,52231529"
xbenspl,"2,51648857"
kraaaaa,"2,51422574"
servelle,"2,51249105"
demotry,"2,50832998"
koromanti,"2,50751654"
little-ricky,"2,504"
mobi72,"2,49891985"
synergie,"2,4985915"
akida,"2,48374822"
nicholas-gg,"2,48192463"
bruno0o,"2,45493443"
roger5120,"2,43313951"
noctury,"2,42951327"
udezee,"2,41854407"
