account,ownedStake
skippyza,"12,03273315"
wolfnworbeikood,"12,02649564"
death-and-taxes,"12,00416226"
neoxiancity,"11,99910141"
archmage.courier,"11,96924323"
wazock,"11,9583634"
huckleberrie,"11,93006179"
gsauce1989,"11,90069853"
proto26,"11,82644644"
boeingwrites45,"11,80612234"
elprutest,"11,75599922"
pieternijmeijer,"11,75539354"
aadi-parin,"11,74565422"
qoogohome,"11,71449397"
yablonsky,"11,69628571"
kolokee,"11,684523"
steem82868,"11,64438907"
tokenpimp,"11,57173089"
burn950,"11,55387817"
mahmud552,"11,54680678"
jpleron,"11,53074002"
bitpizza,"11,51942824"
hhayweaver,"11,50890187"
a1-shroom-spores,"11,4984882"
kaptnkalle,"11,49702406"
dylanhobalart,"11,49689634"
yamada46,"11,48750592"
bigtakosensei,"11,46523771"
lifeskills-tv,"11,36527164"
justinparke,"11,35084413"
nathanmars,"11,31206589"
dauerbrenner05,"11,30026312"
nyxlabs,"11,29077889"
branbello,"11,14066012"
vuiyaga2022,"11,07669921"
axlertwinblade,"11,07583295"
cicisaja,"11,06114969"
zirky,"11,0367271"
coininstant,"11,02707873"
aussieninja,"11,01188778"
cabqueen,"11,0"
haradeas,"10,95702828"
vickoly,"10,93494979"
kemmyb,"10,91679783"
borsengelaber,"10,88717916"
matheusggr,"10,87590372"
nyinyiwin,"10,87102545"
mryoung1979,"10,84127997"
sailor24,"10,83116264"
shaddrak,"10,82717201"
tippingwisdom11,"10,80973256"
btcsam,"10,60731056"
dais12,"10,60197095"
sinaida,"10,5972845"
fujifluz42,"10,52435811"
isnochys,"10,52409889"
urkanon,"10,48572229"
serhotest,"10,47292525"
igormuba,"10,45413599"
vagabond42069,"10,44979357"
adam-lucas,"10,44701643"
valchiz,"10,38439215"
theiamultitude,"10,3639305"
kehrwoche,"10,35936031"
incumbentlife,"10,28364066"
jazzy09,"10,26203755"
supriya.gupta1,"10,24936577"
failed.summoner,"10,23099987"
rokhani,"10,23005971"
xg4028,"10,19581245"
gloriaolar,"10,19317236"
starthilfe,"10,17777529"
ash,"10,177085"
blicklicht,"10,11166603"
